CE,CP,EPS1,FS1,FS2,PS1,PS2,PS3,PS4,PS5,PS6,SE,TS1,TS2,TS3,TS4,VS1,profile
28.866,1.383,2409.6,8.036,10.373,151.19,125.1,2.211,0.0,9.722,9.615,68.264,36.152,41.25,38.594,33.555,0.543,1
23.588,1.164,2397.8,7.89,10.391,150.86,125.04,2.219,0.0,9.623,9.517,68.595,37.477,42.105,39.25,35.121,0.534,1
21.519,1.103,2383.8,7.952,10.356,150.62,124.88,2.266,0.0,9.521,9.423,68.628,38.621,43.035,40.043,36.121,0.534,1
20.403,1.091,2372.0,7.773,10.261,150.28,124.59,2.273,0.0,9.42,9.325,68.868,39.461,43.988,40.922,36.988,0.542,1
20.016,1.106,2369.6,7.825,10.216,150.19,124.51,2.297,0.0,9.333,9.231,68.972,40.391,44.871,41.758,37.754,0.537,1
19.377,1.109,2370.4,7.923,10.159,149.98,124.23,2.227,0.0,9.271,9.176,68.512,41.227,45.684,42.609,38.547,0.554,1
18.457,1.08,2355.8,7.821,10.126,149.8,124.25,2.195,0.0,9.186,9.09,68.566,42.062,46.457,43.187,39.227,0.537,1
18.38,1.105,2354.0,7.812,10.08,149.77,124.41,2.117,0.0,9.146,9.059,68.697,42.73,47.113,43.875,39.797,0.548,1
18.232,1.123,2349.8,7.817,10.033,149.65,124.16,2.227,0.0,9.115,9.028,68.854,43.395,47.789,44.457,40.359,0.533,1
18.207,1.147,2349.8,7.788,9.987,149.7,124.1,2.109,0.0,9.108,9.007,68.832,44.012,48.422,45.129,40.875,0.537,1
18.287,1.168,2347.6,7.721,9.969,149.63,124.36,1.937,0.0,9.05,8.967,68.771,44.566,48.961,45.668,41.312,0.53,1
17.84,1.16,2341.6,7.718,9.911,149.5,123.86,2.352,0.0,9.024,8.944,68.696,45.09,49.488,46.121,41.805,0.547,1
17.825,1.175,2339.6,7.686,9.945,149.44,124.02,2.102,0.0,8.957,8.876,68.639,45.59,49.969,46.641,42.199,0.582,1
17.527,1.181,2337.6,7.899,9.869,149.47,123.76,1.781,0.0,8.961,8.878,69.008,46.082,50.41,47.074,42.605,0.537,1
17.845,1.214,2333.6,7.769,9.83,149.35,123.75,2.047,0.0,8.919,8.838,68.845,46.414,50.824,47.512,42.937,0.556,1
17.662,1.212,2329.8,7.946,9.793,149.34,123.51,2.219,0.0,8.896,8.819,68.955,46.766,51.227,47.832,43.285,0.547,1
17.864,1.227,2327.8,7.886,9.809,149.25,123.94,1.937,0.0,8.877,8.792,69.066,47.18,51.586,48.223,43.547,0.577,1
17.772,1.241,2325.6,7.693,9.784,148.96,123.41,2.156,0.0,8.839,8.751,69.121,47.437,51.945,48.516,43.852,0.554,1
17.332,1.226,2325.4,7.824,9.737,148.99,123.19,2.102,0.0,8.852,8.781,69.089,47.84,52.289,48.832,44.168,0.573,1
17.726,1.266,2314.0,7.921,9.746,149.09,123.63,1.945,0.0,8.841,8.758,69.457,48.023,52.492,49.246,44.41,0.564,1
17.724,1.262,2315.6,7.771,9.652,148.83,123.42,2.172,0.0,8.814,8.749,69.094,48.32,52.746,49.434,44.582,0.552,1
17.806,1.278,2311.6,7.831,9.681,148.66,123.16,2.242,0.0,8.818,8.751,69.266,48.531,53.09,49.668,44.766,0.607,1
17.835,1.293,2307.8,7.726,9.63,148.69,123.5,2.0,0.0,8.849,8.789,69.544,48.777,53.262,49.926,44.945,0.606,1
18.025,1.308,2309.4,7.619,9.603,148.75,123.41,2.211,0.0,8.795,8.712,69.512,48.961,53.418,50.168,45.125,0.606,1
17.92,1.312,2307.4,7.816,9.624,148.36,122.9,2.141,0.0,8.829,8.747,69.645,49.109,53.676,50.328,45.277,0.59,1
18.137,1.336,2300.0,7.682,9.606,148.49,123.04,2.0,0.0,8.763,8.692,69.32,49.332,53.863,50.594,45.422,0.592,1
18.374,1.352,2303.6,7.878,9.572,148.31,123.16,2.633,0.0,8.806,8.741,68.923,49.598,54.098,50.75,45.52,0.586,1
18.288,1.353,2299.8,7.649,9.552,148.19,122.79,1.836,0.0,8.794,8.73,69.12,49.758,54.246,50.961,45.699,0.586,1
18.189,1.355,2297.4,7.741,9.51,148.09,122.61,1.969,0.0,8.796,8.714,69.269,49.875,54.355,51.016,45.766,0.587,1
18.541,1.391,2292.0,7.693,9.542,148.09,122.69,1.945,0.0,8.802,8.738,69.147,50.008,54.566,51.281,45.863,0.593,1
18.795,1.412,2293.8,7.766,9.528,148.13,122.51,1.992,0.0,8.743,8.685,69.09,50.133,54.598,51.391,45.93,0.582,1
18.357,1.376,2292.8,7.738,9.522,147.77,122.18,1.953,0.0,8.75,8.689,69.166,50.207,54.758,51.527,46.168,0.594,1
19.219,1.448,2292.6,7.741,9.459,147.98,122.61,1.914,0.0,8.767,8.707,69.217,50.367,54.863,51.625,46.102,0.603,1
18.736,1.411,2290.4,7.729,9.472,147.83,122.28,2.086,0.0,8.772,8.708,69.216,50.543,55.027,51.812,46.336,0.593,1
18.848,1.428,2287.4,7.784,9.495,147.97,122.64,2.078,0.0,8.73,8.66,69.196,50.516,55.152,51.855,46.348,0.599,1
19.128,1.443,2287.6,7.772,9.474,148.01,122.56,2.047,0.0,8.719,8.663,69.107,50.699,55.23,52.031,46.348,0.593,1
18.865,1.43,2290.4,7.768,9.45,147.78,122.25,1.937,0.0,8.743,8.682,69.128,50.781,55.387,52.031,46.441,0.588,1
18.888,1.432,2292.2,7.749,9.446,147.9,122.44,2.062,0.0,8.733,8.685,68.889,50.832,55.461,52.254,46.605,0.593,1
18.558,1.412,2292.0,7.729,9.441,148.02,122.64,2.047,0.0,8.762,8.699,68.946,50.871,55.477,52.273,46.691,0.591,1
19.572,1.487,2288.2,7.798,9.452,147.97,122.46,2.0,0.0,8.73,8.651,69.148,51.031,55.574,52.293,46.441,0.592,1
19.422,1.489,2296.6,7.77,9.446,147.77,122.41,1.937,0.0,8.728,8.675,68.989,51.062,55.68,52.461,46.613,0.582,1
19.182,1.471,2293.0,7.756,9.407,147.66,122.27,1.945,0.0,8.767,8.698,69.118,51.223,55.719,52.543,46.773,0.592,1
18.938,1.45,2291.6,7.724,9.419,147.72,122.31,2.055,0.0,8.701,8.639,68.943,51.207,55.781,52.543,46.816,0.575,1
19.293,1.48,2285.6,7.748,9.421,147.67,122.23,2.141,0.0,8.718,8.658,69.134,51.297,55.887,52.664,46.828,0.58,1
19.426,1.497,2283.8,7.769,9.398,147.6,122.27,2.008,0.0,8.736,8.676,69.019,51.305,55.898,52.715,46.805,0.579,1
19.567,1.504,2291.4,7.813,9.408,147.66,122.07,2.008,0.0,8.707,8.658,69.158,51.391,55.965,52.773,46.852,0.577,1
19.527,1.51,2287.6,7.77,9.409,147.69,122.33,1.992,0.0,8.717,8.67,69.141,51.437,56.012,52.863,46.922,0.604,1
19.557,1.504,2283.8,7.791,9.397,147.66,122.31,1.977,0.0,8.712,8.658,69.201,51.445,56.113,52.859,46.93,0.57,1
19.323,1.485,2285.4,7.777,9.394,147.53,122.3,2.031,0.0,8.683,8.62,69.341,51.57,56.168,52.961,47.062,0.57,1
19.543,1.503,2286.8,7.756,9.389,147.62,122.35,2.031,0.0,8.697,8.639,69.234,51.664,56.223,52.949,47.016,0.581,1
19.827,1.53,2284.8,7.736,9.405,147.62,122.13,2.062,0.0,8.691,8.631,69.187,51.645,56.234,53.07,47.039,0.583,1
19.154,1.482,2281.8,7.785,9.357,147.64,122.22,2.023,0.0,8.718,8.665,69.226,51.73,56.316,53.117,47.254,0.585,1
19.499,1.511,2283.6,7.792,9.377,147.44,122.12,2.008,0.0,8.683,8.623,69.265,51.715,56.379,53.027,47.102,0.59,1
19.512,1.501,2283.6,7.714,9.379,147.62,122.2,1.969,0.0,8.681,8.613,69.117,51.805,56.445,53.121,47.16,0.586,1
19.63,1.526,2280.4,7.768,9.347,147.6,122.27,2.023,0.0,8.72,8.655,69.349,51.797,56.48,53.293,47.266,0.587,1
19.694,1.515,2282.8,7.793,9.336,147.62,122.34,2.047,0.0,8.712,8.649,69.368,51.887,56.488,53.285,47.266,0.59,1
19.47,1.507,2279.8,7.73,9.339,147.51,122.04,1.969,0.0,8.7,8.635,69.233,51.887,56.48,53.324,47.352,0.587,1
20.111,1.564,2279.8,7.761,9.338,147.53,122.2,2.023,0.0,8.708,8.639,69.311,51.887,56.574,53.375,47.184,0.583,1
19.875,1.549,2278.0,7.733,9.365,147.42,121.94,1.945,0.0,8.712,8.655,69.258,51.965,56.648,53.375,47.266,0.585,1
19.569,1.519,2283.6,7.743,9.341,147.64,122.16,1.953,0.0,8.7,8.648,69.188,51.977,56.66,53.461,47.426,0.579,1
19.822,1.548,2279.6,7.735,9.321,147.4,122.05,1.844,0.0,8.7,8.634,69.368,51.984,56.684,53.469,47.332,0.577,1
20.141,1.57,2281.6,7.751,9.343,147.53,122.25,1.992,0.0,8.661,8.597,69.268,51.969,56.754,53.5,47.277,0.582,1
19.569,1.524,2281.4,7.798,9.332,147.52,122.15,2.0,0.0,8.688,8.631,69.435,52.059,56.73,53.469,47.418,0.581,1
20.307,1.583,2277.6,7.751,9.336,147.27,121.97,2.047,0.0,8.677,8.616,69.343,52.102,56.754,53.543,47.266,0.601,1
20.817,1.621,2275.8,7.751,9.338,147.24,122.14,2.102,0.0,8.673,8.609,69.341,52.07,56.77,53.551,47.09,0.587,1
20.002,1.564,2275.8,7.769,9.33,147.45,122.14,1.937,0.0,8.673,8.62,69.339,52.117,56.766,53.617,47.426,0.587,1
19.332,1.509,2276.0,7.766,9.346,147.58,122.16,1.898,0.0,8.66,8.609,69.284,52.137,56.773,53.551,47.504,0.585,1
19.866,1.543,2277.8,7.744,9.326,147.5,122.05,2.109,0.0,8.677,8.622,69.388,52.137,56.836,53.543,47.418,0.583,1
20.041,1.564,2279.6,7.774,9.319,147.58,122.23,1.953,0.0,8.707,8.639,69.333,52.297,56.922,53.629,47.488,0.576,1
19.88,1.545,2275.8,7.763,9.326,147.31,122.04,2.008,0.0,8.698,8.636,69.304,52.301,56.918,53.637,47.504,0.575,1
19.588,1.517,2272.0,7.708,9.3,147.37,122.0,1.969,0.0,8.679,8.625,69.33,52.301,56.859,53.711,47.672,0.618,1
19.694,1.504,2277.6,7.787,9.304,147.29,122.06,2.078,0.0,8.668,8.621,69.343,52.312,56.977,53.738,47.766,0.595,1
19.719,1.479,2276.0,7.747,9.356,147.17,121.97,2.062,0.0,8.67,8.609,69.27,52.469,56.969,53.805,47.914,0.593,1
20.581,1.546,2277.8,7.804,9.307,147.21,121.89,1.945,0.0,8.675,8.628,69.35,52.473,56.973,53.879,47.832,0.604,1
20.525,1.539,2277.6,7.77,9.312,147.58,122.48,1.891,0.0,8.653,8.592,69.395,52.566,57.016,53.957,47.836,0.596,1
20.174,1.522,2276.2,7.741,9.294,147.13,121.77,2.023,0.0,8.68,8.621,69.459,52.562,57.09,54.035,48.082,0.588,1
